"name","type","breed","color","sex","size","date_of_birth","impound_number","kennel_number","animal_id","intake_date","outcome_date","days_in_shelter","intake_type","intake_subtype","outcome_type","outcome_subtype","intake_condition","outcome_condition","intake_jurisdiction","outcome_jurisdiction","outcome_zip_code","location","sex_clean"
"LYSITHEA","CAT","DOMESTIC SH","BLUE CREAM/TORTIE","Spayed","SMALL",2016-02-17,"K17-022574","CA02","A348521",2017-02-17,2017-02-28,11,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Female"
"*SUGAR BEAR","DOG","PIT BULL/CHINESE SHARPEI","BROWN/BLACK","Spayed","LARGE",2012-09-30,"K15-016332","DS84","A327315",2015-10-09,2015-11-13,35,"ADOPTION RETURN","OVER THE COUNTER","EUTHANIZE","AGGRESSIVE","HEALTHY","TREATABLE/MANAGEABLE","COUNTY",NA,NA,NA,"Female"
"GHOTTI","DOG","PIT BULL/ROTTWEILER","BLACK/TAN","Male","LARGE",2013-08-24,"K14-011824","DQ111","A314258",2014-11-24,2014-12-01,7,"QUARANTINE","FLD_STRAY","EUTHANIZE","BEH SEVERE","UNTREATABLE","UNTREATABLE","SANTA ROSA","SANTA ROSA",95407,"95407
(38.403734, -122.736775)","Male"
"","DOG","PIT BULL/MIX","TAN","Neutered","MED",2005-12-24,"K14-012128","DQ111","A314998",2014-12-17,2014-12-24,7,"STRAY","FIELD","EUTHANIZE","BEH SEVERE","UNTREATABLE","UNTREATABLE","COUNTY",NA,NA,NA,"Male"
"JULIO","DOG","CHIHUAHUA SH","CHOCOLATE","Neutered","TOY",2012-06-24,"K15-014423","DA04","A322891",2015-06-12,2015-07-18,36,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","COUNTY",95436,"95436
(38.491884, -122.90672)","Male"
"BELLA","DOG","WELSH CORGI PEM","SABLE/WHITE","Spayed","MED",2009-04-11,"K17-023070","DS55","A351023",2017-04-10,2017-04-11,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Female"
"*BRODIE","DOG","GERM SHEPHERD","BROWN/BLACK","Neutered","LARGE",2011-12-04,"K14-008440","DS70","A299918",2014-04-12,2014-04-18,6,"OWNER SURRENDER","OVER THE COUNTER","TRANSFER","B A GERMAN","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY",94947,"94947
(38.098743, -122.592459)","Male"
"ODIN","DOG","LABRADOR RETR","YELLOW","Male","LARGE",2016-03-22,"K16-021635","DS77","A345572",2016-11-21,2016-11-22,1,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_MCHIP","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95409,"95409
(38.458965, -122.630156)","Male"
"ROYCE","DOG","LABRADOR RETR/MIX","BROWN/WHITE","Male","LARGE",2013-01-05,"K15-015164","DS56","A315499",2015-07-30,2015-08-04,5,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","COUNTY","COUNTY",94954,"94954
(38.245316, -122.59871)","Male"
"YOSHI","DOG","POMERANIAN/MIX","TAN/WHITE","Neutered","SMALL",NA,"K15-015471","DS51","A324714",2015-08-18,2015-08-19,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95407,"95407
(38.403734, -122.736775)","Male"
"*GRADY","DOG","SIBERIAN HUSKY/MIX","BLK SMOKE","Neutered","MED",2016-08-08,"K17-024426","DA06","A355652",2017-07-16,2017-08-26,41,"STRAY","FIELD","ADOPTION","FB SCAS","HEALTHY","HEALTHY","SANTA ROSA","COUNTY",95407,"95407
(38.403734, -122.736775)","Male"
"","CAT","DOMESTIC SH","WHITE/BLACK","Spayed","KITTN",2014-08-18,"K14-011336","CS06","A312876",2014-10-18,2014-10-24,6,"STRAY","COMM CAT","RETURN TO OWNER","MEDICAL","HEALTHY","HEALTHY","COUNTY","COUNTY",95472,"95472
(38.394388, -122.850998)","Female"
"SKIZZ","DOG","SIBERIAN HUSKY/MIX","RED/WHITE","Neutered","MED",NA,"K17-024218","DS83","A339781",2017-07-03,2017-07-05,2,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","COUNTY","COUNTY",95462,"95462
(38.468829, -123.018829)","Male"
"CRISIS","DOG","PIT BULL","BLUE/WHITE","Female","MED",2008-12-18,"K15-017100","DQ108","A330655",2015-12-10,2015-12-22,12,"CONFISCATE","FLD_HOSPTL","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY",89433,"89433
(39.597342, -119.774504)","Male"
"","CAT","DOMESTIC SH","BLK TABBY","Spayed","SMALL",NA,"K14-011545","CS06","A313268",2014-10-30,2014-11-06,7,"STRAY","COMM CAT","RETURN TO OWNER","MEDICAL","HEALTHY","HEALTHY","COUNTY","COUNTY",95407,"95407
(38.403734, -122.736775)","Female"
"","CAT","DOMESTIC MH","BLACK","Male","SMALL",2016-07-29,"K16-020367","CA03","A341190",2016-08-18,2016-08-19,1,"STRAY","FIELD","TRANSFER","FORGOTTEN","TREATABLE/REHAB","TREATABLE/REHAB","COUNTY","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"OWEN","DOG","PUG/MIX","BROWN","Neutered","SMALL",2008-07-11,"K14-009743","DS79","A308930",2014-07-10,2014-07-11,1,"TRANSFER","VET_HOSP","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"","CAT","DOMESTIC SH","BRN TABBY","Neutered","SMALL",NA,"K14-010972","CS06","A312046",2014-09-24,2014-09-30,6,"STRAY","COMM CAT","RETURN TO OWNER","COMMCAT","HEALTHY","HEALTHY","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"SUKI","CAT","DOMESTIC SH","SEAL PT","Spayed","SMALL",2013-09-04,"K14-010621","CS04","A311176",2014-09-04,2014-10-28,54,"STRAY","COMM CAT","ADOPTION","INTERNET","TREATABLE/REHAB","HEALTHY","COUNTY","COUNTY",95472,"95472
(38.394388, -122.850998)","Female"
"*ELIZABETH","DOG","CHIHUAHUA SH/MIX","WHITE/TAN","Spayed","TOY",2014-08-15,"K17-022396","DA06","A347877",2017-01-31,2017-02-16,16,"STRAY","OVER THE COUNTER","ADOPTION","FINDER","TREATABLE/REHAB","HEALTHY","SANTA ROSA","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Female"
"CAPT.MIDNITE","CAT","DOMESTIC SH","BLACK","Neutered","SMALL",2008-03-23,"K16-018182","CS05","A334815",2016-03-23,2016-04-16,24,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","INTERNET","HEALTHY","HEALTHY","SANTA ROSA","OUT OF COUNTY",95461,"95461
(38.787437, -122.64395)","Male"
"","CAT","DOMESTIC SH","BRN TABBY","Spayed","SMALL",2016-03-25,"K17-022909","CS06","A349943",2017-03-25,2017-03-28,3,"STRAY","COMM CAT","RETURN TO OWNER","COMMCAT","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","COUNTY","COUNTY",94952,"94952
(38.236012, -122.730241)","Female"
"","CAT","DOMESTIC SH","BLACK/WHITE","Spayed","KITTN",2014-05-24,"K14-010981","CS06","A312099",2014-09-25,2014-09-27,2,"STRAY","COMM CAT","RETURN TO OWNER","COMMCAT","HEALTHY","HEALTHY","COUNTY","COUNTY",94952,"94952
(38.236012, -122.730241)","Female"
"BLUE","CAT","SIAMESE/MIX","BLUE PT/WHITE","Neutered","SMALL",2002-01-08,"K15-012362","LOBBY","A315623",2015-01-08,2015-02-06,29,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","REFERRAL","HEALTHY","HEALTHY","SANTA ROSA","COUNTY",95472,"95472
(38.394388, -122.850998)","Male"
"","CAT","DOMESTIC SH","BLACK/WHITE","Neutered","KITTN",2015-08-13,"K15-016371","CS06","A328262",2015-10-13,2015-10-16,3,"STRAY","OVER THE COUNTER","RETURN TO OWNER","COMMCAT","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95409,"95409
(38.458965, -122.630156)","Male"
"","CAT","DOMESTIC SH","BLACK","Male","SMALL",2011-03-25,"K16-018208","SMM","A334885",2016-03-25,2016-04-06,12,"STRAY","FIELD","EUTHANIZE","FELV/FIV","UNTREATABLE","UNTREATABLE","SANTA ROSA",NA,NA,NA,"Male"
"DIAMOND","DOG","LABRADOR RETR/MIX","YELLOW/WHITE","Male","MED",NA,"K16-021291","DS63","A344398",2016-10-25,2016-10-26,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","TREATABLE/REHAB","HEALTHY","COUNTY","COUNTY",94952,"94952
(38.236012, -122.730241)","Male"
"MALIBU","CAT","DOMESTIC SH","BLACK/WHITE","Spayed","SMALL",2011-05-13,"K14-008828","CS05","A306617",2014-05-13,2014-05-30,17,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Female"
"CHENCHO","DOG","CHIHUAHUA SH/MIX","TAN/WHITE","Neutered","SMALL",2012-08-22,"K14-007451","DS70","A301899",2014-01-24,2014-01-24,0,"STRAY","OVER THE COUNTER","RETURN TO OWNER","RETURN TO OWNER","HEALTHY","HEALTHY","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"HAGAN","DOG","GREAT PYRENEES/CATAHOULA","Y BRINDLE","Neutered","PUPPY",2015-11-26,"K16-017596","DA06","A332413",2016-01-26,2016-02-13,18,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","INTERNET","HEALTHY","HEALTHY","COUNTY","COUNTY",95404,"95404
(38.458384, -122.675588)","Male"
"GRACIE","DOG","CHIHUAHUA SH/MIX","BROWN/WHITE","Spayed","SMALL",2005-11-05,"K15-016696","DS73","A329467",2015-11-04,2015-11-06,2,"CONFISCATE","FLD_HOSPTL","RETURN TO OWNER","FLD_PRVS","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Female"
"SHADOW","DOG","GERM SHEPHERD","BLACK","Neutered","PUPPY",2014-06-10,"K14-010812","DA16","A311644",2014-09-16,2014-09-23,7,"STRAY","OVER THE COUNTER","ADOPTION","INTERNET","HEALTHY","HEALTHY","SANTA ROSA","*PETALUMA",94952,"94952
(38.236012, -122.730241)","Male"
"SASHA","DOG","AUST SHEPHERD/MIX","WHITE/TAN","Spayed","MED",2012-04-09,"K14-010536","DA40","A280555",2014-08-29,2014-09-16,18,"ADOPTION RETURN","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","*ROHNERT PARK","COUNTY",95436,"95436
(38.491884, -122.90672)","Female"
"BAILEY","DOG","PIT BULL","GRAY/WHITE","Spayed","LARGE",2009-08-05,"K16-021180","KINGS KSTL","A243025",2016-10-14,2017-04-22,190,"OWNER SURRENDER","OVER THE COUNTER","TRANSFER","FAMILY DOG","HEALTHY","HEALTHY","SANTA ROSA","OUT OF COUNTY",97206,"97206
(45.482846, -122.599304)","Female"
"BUBBA","DOG","AMER BULLDOG","BR BRINDLE/WHITE","Neutered","LARGE",2012-05-21,"K15-016139","DA18","A299475",2015-09-25,2015-11-28,64,"STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95409,"95409
(38.458965, -122.630156)","Male"
"WHISKEY","DOG","PIT BULL/MIX","BROWN/WHITE","Neutered","MED",2015-05-26,"K17-023984","TRUCK","A328610",2017-06-17,2017-06-17,0,"STRAY","FIELD","RETURN TO OWNER","FLD_LIC","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95405,"95405
(38.439152, -122.672541)","Male"
"CUTIE","DOG","PIT BULL","BLUE/BLUE","Spayed","MED",2011-11-01,"K14-008793","DQ111","A288179",2014-05-10,2014-05-20,10,"QUARANTINE","FIELD_RETURN TO OWNER","RETURN TO OWNER","RETURN TO OWNER","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Female"
"TYSON","DOG","MIN PINSCHER","UNKNOWN","Male","MED",2016-07-09,"K17-024077","TRUCK","A348274",2017-06-22,2017-06-22,0,"STRAY","FIELD","RETURN TO OWNER","FLD_IDTAG","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"YESKA","DOG","GERM SHEPHERD","TAN/BLACK","Female","LARGE",2013-11-19,"K14-012051","DS83","A314021",2014-12-12,2014-12-18,6,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","COUNTY","COUNTY",95448,"95448
(38.618857, -122.861927)","Male"
"DEXTER","CAT","DOMESTIC SH","BRN TABBY","Neutered","SMALL",2014-04-08,"K17-024319","CA02","A305363",2017-07-08,2017-08-05,28,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","SCAS WEB","HEALTHY","HEALTHY","SANTA ROSA","COUNTY",95441,"95441
(38.729916, -122.883041)","Male"
"COOPER","CAT","DOMESTIC SH","GRAY/WHITE","Neutered","SMALL",NA,"K15-017167","CA02","A330946",2015-12-16,2015-12-18,2,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95407,"95407
(38.403734, -122.736775)","Male"
"NESHA","DOG","LABRADOR RETR/MIX","BR BRINDLE/WHITE","Neutered","MED",2012-02-14,"K14-007709","DS74","A302678",2014-02-14,2014-02-20,6,"CONFISCATE","FLD_ARREST","RETURN TO OWNER","RETURN TO OWNER","HEALTHY","HEALTHY","COUNTY","COUNTY",95472,"95472
(38.394388, -122.850998)","Male"
"SINCERE","DOG","PLOTT HOUND","BR BRINDLE","Neutered","LARGE",2009-07-05,"K16-019575","DS61","A339252",2016-07-05,2016-07-05,0,"STRAY","VET_HOSP","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","SANTA ROSA","COUNTY",95407,"95407
(38.403734, -122.736775)","Male"
"CHOPPER","DOG","AMERICAN STAFF","BROWN/WHITE","Neutered","LARGE",NA,"K14-009062","DQ111","A019319",2014-05-31,2014-05-31,0,"STRAY","FIELD","RETURN TO OWNER","RETURN TO OWNER","HEALTHY","HEALTHY","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"KHALEESI","DOG","GERM SHEPHERD","BLACK","Spayed","MED",2014-11-20,"K15-016858","DA14","A329773",2015-11-20,2015-12-18,28,"STRAY","FIELD","ADOPTION","INTERNET","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Female"
"","CAT","DOMESTIC SH","WHITE/GRAY","Neutered","SMALL",NA,"K14-010605","CS06","A311114",2014-09-03,2014-09-09,6,"STRAY","COMM CAT","RETURN TO OWNER","MEDICAL","HEALTHY","HEALTHY","COUNTY","COUNTY",95421,"95421
(38.610732, -123.200051)","Male"
"*LICORICE","CAT","DOMESTIC SH","BLACK","Spayed","KITTN",2014-04-06,"K14-008730","WESTFARM","A306234",2014-05-06,2014-06-20,45,"STRAY","FIELD","ADOPTION","WESTFARM","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95409,"95409
(38.458965, -122.630156)","Female"
"","CAT","DOMESTIC SH","TORTIE","Female","KITTN",2015-06-07,"K15-015298","CS06","A324982",2015-08-07,2015-08-12,5,"STRAY","COMM CAT","RETURN TO OWNER","COMMCAT","HEALTHY","HEALTHY","COUNTY","COUNTY",94954,"94954
(38.245316, -122.59871)","Male"
"ELLA","CAT","DOMESTIC SH","BRN TABBY/WHITE","Female","KITTN",2017-05-27,"K17-024147","CA03","A354504",2017-06-27,2017-06-28,1,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_PRVS","TREATABLE/REHAB","TREATABLE/REHAB","COUNTY","COUNTY",95436,"95436
(38.491884, -122.90672)","Male"
"","CAT","DOMESTIC SH","BLACK/WHITE","Spayed","SMALL",NA,"K16-018117","CS06","A334455",2016-03-17,2016-04-05,19,"STRAY","FIELD","TRANSFER","FORGOTTEN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Female"
"*JOEY","DOG","PIT BULL/LABRADOR RETR","BLACK","Neutered","MED",2016-06-02,"K17-023753","MOBILE","A353508",2017-06-02,2017-08-05,64,"STRAY","FIELD","ADOPTION","MOB EVENT","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95407,"95407
(38.403734, -122.736775)","Male"
"","CAT","DOMESTIC SH","TORTIE","Spayed","SMALL",2014-08-11,"K16-020248","CS06","A340739",2016-08-11,2016-08-20,9,"STRAY","COMM CAT","RETURN TO OWNER","COMMCAT","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Female"
"OWEN","DOG","AUST SHEPHERD/MIX","BLACK/WHITE","Neutered","MED",2008-06-19,"K14-009384","DS79","A308127",2014-06-19,2014-06-20,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_IDTAG","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95405,"95405
(38.439152, -122.672541)","Male"
"SMOKEY","CAT","DOMESTIC SH","BLUE CREAM/TORTIE","Spayed","SMALL",2010-10-17,"K15-016182","CS04","A327810",2015-09-29,2015-11-28,60,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","TREATABLE/REHAB","HEALTHY","SANTA ROSA","SANTA ROSA",95409,"95409
(38.458965, -122.630156)","Female"
